numeric,numeric
ID,x1
0,0
1,0
2,1
3,0
4,0
5,1
6,0
7,0
8,0
9,0
10,0
11,1
12,0
13,1
14,0
15,0
16,0
17,1
18,0
19,0
20,1
21,0
22,1
23,1
24,1
25,1
26,1
27,1
28,0
29,0
30,1
31,1
32,1
33,0
34,0
35,1
36,1
37,1
38,1
39,1
40,0
41,0
42,0
43,1
44,0
45,0
46,0
47,0
48,0
49,1
50,0
51,1
52,0
53,0
54,0
55,1
56,0
57,1
58,1
59,1
60,0
61,1
62,1
63,0
64,0
65,0
66,0
67,0
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,1
76,0
77,1
78,1
79,1
80,1
81,1
82,0
83,0
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,0
93,1
94,1
95,0
96,0
97,1
98,1
99,0
100,0
101,0
102,0
103,1
104,1
105,0
106,1
107,0
108,1
109,1
110,0
111,0
112,0
113,1
114,0
115,0
116,1
117,1
118,1
119,0
120,0
121,1
122,0
123,1
124,1
125,0
126,0
127,1
128,0
129,0
130,0
131,0
132,0
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,0
142,1
143,0
144,0
145,0
146,0
147,1
148,0
149,1
150,0
151,0
152,0
153,1
154,0
155,0
156,0
157,0
158,1
159,1
160,0
161,0
162,1
163,0
164,1
165,1
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,1
177,0
178,1
179,0
180,0
181,1
182,1
183,1
184,1
185,0
186,1
187,1
188,1
189,0
190,0
191,0
192,0
193,1
194,0
195,0
196,1
197,0
198,0
199,1
200,0
201,0
202,1
203,1
204,0
205,1
206,1
207,0
208,1
209,0
210,0
211,0
212,1
213,1
214,1
215,0
216,0
217,1
218,1
219,0
220,0
221,0
222,1
223,0
224,0
225,0
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,0
238,0
239,0
240,1
241,1
242,1
243,0
244,1
245,0
246,0
247,0
248,1
249,1
250,0
251,1
252,0
253,1
254,0
255,1
256,0
257,0
258,1
259,0
260,1
261,1
262,0
263,0
264,1
265,1
266,1
267,1
268,0
269,0
270,0
271,0
272,0
273,0
274,1
275,1
276,1
277,0
278,1
279,0
280,0
281,0
282,0
283,0
284,1
285,0
286,1
287,0
288,1
289,0
290,1
291,1
292,1
293,1
294,1
295,1
296,0
297,1
298,0
299,1
300,0
301,0
302,1
303,1
304,0
305,1
306,0
307,1
308,1
309,0
310,1
311,1
312,1
313,0
314,0
315,1
316,1
317,0
318,1
319,0
320,1
321,1
322,0
323,0
324,0
325,1
326,0
327,0
328,1
329,0
330,0
331,0
332,0
333,0
334,1
335,1
336,0
337,0
338,0
339,0
340,1
341,0
342,1
343,1
344,1
345,1
346,1
347,0
348,1
349,1
350,0
351,1
352,1
353,1
354,0
355,0
356,0
357,0
358,0
359,1
360,1
361,0
362,0
363,1
364,0
365,1
366,0
367,0
368,1
369,1
370,0
371,0
372,1
373,1
374,0
375,0
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,0
386,0
387,0
388,1
389,0
390,0
391,0
392,0
393,1
394,0
395,0
396,1
397,0
398,1
399,0
400,1
401,1
402,1
403,0
404,0
405,0
406,0
407,1
408,0
409,1
410,1
411,0
412,1
413,0
414,1
415,1
416,0
417,1
418,1
419,0
420,1
421,0
422,1
423,1
424,0
425,0
426,0
427,0
428,0
429,1
430,1
431,0
432,0
433,1
434,1
435,1
436,0
437,0
438,1
439,0
440,0
441,1
442,1
443,1
444,0
445,0
446,0
447,1
448,1
449,0
450,1
451,0
452,1
453,1
454,0
455,1
456,0
457,0
458,1
459,1
460,0
461,1
462,1
463,0
464,0
465,0
466,0
467,0
468,1
469,0
470,0
471,0
472,0
473,0
474,1
475,0
476,1
477,1
478,1
479,1
480,0
481,0
482,1
483,1
484,1
485,1
486,0
487,1
488,1
489,0
490,0
491,0
492,1
493,1
494,0
495,0
496,1
497,0
498,0
499,1
500,1
501,1
502,0
503,0
504,0
505,1
506,1
507,1
508,0
509,0
510,0
511,1
512,1
513,0
514,1
515,1
516,0
517,0
518,1
519,0
520,1
521,0
522,1
523,1
524,1
525,1
526,1
527,0
528,1
529,0
530,0
531,0
532,0
533,1
534,1
535,0
536,1
537,1
538,0
539,0
540,1
541,0
542,0
543,1
544,0
545,0
546,0
547,1
548,1
549,1
550,0
551,0
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,0
562,1
563,1
564,1
565,1
566,1
567,1
568,0
569,0
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,0
578,0
579,1
580,0
581,1
582,1
583,1
584,0
585,0
586,0
587,1
588,0
589,0
590,0
591,1
592,1
593,1
594,1
595,1
596,0
597,0
598,1
599,1
600,0
601,0
602,1
603,1
604,1
605,0
606,0
607,0
608,0
609,1
610,1
611,0
612,0
613,1
614,0
615,1
616,1
617,0
618,0
619,0
620,0
621,1
622,1
623,1
624,1
625,1
626,1
627,0
628,0
629,0
630,0
631,1
632,0
633,0
634,1
635,1
636,1
637,1
638,1
639,0
640,1
641,1
642,1
643,0
644,0
645,0
646,1
647,0
648,1
649,0
650,0
651,1
652,0
653,0
654,1
655,0
656,0
657,0
658,1
659,0
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,0
668,0
669,0
670,1
671,1
672,1
673,1
674,0
675,1
676,1
677,0
678,0
679,0
680,1
681,0
682,1
683,1
684,0
685,0
686,1
687,1
688,1
689,1
690,0
691,0
692,1
693,1
694,1
695,0
696,1
697,0
698,1
699,1
700,0
701,0
702,1
703,1
704,1
705,0
706,0
707,1
708,1
709,1
710,0
711,0
712,0
713,0
714,0
715,1
716,0
717,1
718,1
719,0
720,1
721,1
722,0
723,1
724,1
725,0
726,0
727,0
728,1
729,1
730,0
731,0
732,1
733,0
734,1
735,1
736,0
737,0
738,0
739,1
740,1
741,1
742,1
743,1
744,0
745,1
746,0
747,1
748,1
749,1
750,0
751,0
752,0
753,0
754,1
755,1
756,0
757,1
758,0
759,1
760,0
761,1
762,1
763,0
764,1
765,0
766,0
767,1
768,0
769,0
770,0
771,0
772,1
773,0
774,0
775,1
776,0
777,1
778,0
779,0
780,1
781,0
782,0
783,0
784,1
785,0
786,0
787,1
788,1
789,1
790,1
791,0
792,1
793,0
794,0
795,0
796,1
797,0
798,0
799,1
800,0
801,0
802,1
803,0
804,0
805,0
806,1
807,1
808,0
809,0
810,0
811,0
812,0
813,0
814,1
815,1
816,0
817,0
818,0
819,1
820,1
821,0
822,1
823,0
824,0
825,1
826,0
827,0
828,0
829,1
830,1
831,1
832,1
833,1
834,1
835,0
836,1
837,0
838,1
839,1
840,0
841,1
842,0
843,1
844,0
845,0
846,0
847,1
848,1
849,0
850,1
851,1
852,1
853,1
854,0
855,0
856,1
857,0
858,0
859,1
860,0
861,1
862,1
863,0
864,0
865,1
866,1
867,1
868,0
869,0
870,1
871,0
872,1
873,1
874,0
875,1
876,0
877,1
878,1
879,0
880,1
881,1
882,0
883,0
884,1
885,0
886,1
887,1
888,0
889,1
890,0
891,1
892,0
893,1
894,1
895,0
896,1
897,0
898,0
899,0
900,1
901,1
902,1
903,1
904,0
905,0
906,1
907,1
908,0
909,1
910,0
911,1
912,0
913,0
914,1
915,0
916,1
917,1
918,1
919,0
920,0
921,0
922,1
923,1
924,1
925,1
926,0
927,1
928,1
929,0
930,1
931,0
932,0
933,0
934,0
935,1
936,0
937,0
938,1
939,0
940,1
941,0
942,0
943,0
944,0
945,0
946,0
947,1
948,1
949,1
950,0
951,1
952,1
953,0
954,0
955,0
956,0
957,0
958,1
959,1
960,1
961,0
962,0
963,0
964,0
965,0
966,1
967,1
968,0
969,0
970,1
971,1
972,1
973,1
974,1
975,1
976,1
977,0
978,1
979,0
980,1
981,1
982,1
983,0
984,1
985,0
986,0
987,1
988,0
989,0
990,1
991,1
992,0
993,1
994,0
995,1
996,1
997,0
998,1
999,0
1000,0
1001,0
1002,1
1003,0
1004,0
1005,0
1006,0
1007,1
1008,1
1009,0
1010,1
1011,1
1012,1
1013,1
1014,0
1015,1
1016,0
1017,0
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,0
1025,1
1026,0
1027,0
1028,0
1029,0
1030,1
1031,0
1032,1
1033,0
1034,0
1035,1
1036,1
1037,1
1038,0
1039,0
1040,1
1041,1
1042,0
1043,1
1044,1
1045,0
1046,1
1047,1
1048,0
1049,1
1050,1
1051,0
1052,1
1053,0
1054,0
1055,1
1056,1
1057,0
1058,1
1059,1
1060,1
1061,1
1062,1
1063,1
1064,0
1065,0
1066,1
1067,1
1068,0
1069,1
1070,1
1071,1
1072,0
1073,0
1074,1
1075,1
1076,0
1077,0
1078,1
1079,0
1080,0
1081,0
1082,1
1083,0
1084,0
1085,0
1086,1
1087,0
1088,1
1089,0
1090,0
1091,1
1092,1
1093,0
1094,1
1095,1
1096,0
1097,0
1098,0
1099,1
1100,1
1101,0
1102,0
1103,1
1104,0
1105,1
1106,1
1107,1
1108,0
1109,1
1110,0
1111,0
1112,1
1113,1
1114,0
1115,0
1116,1
1117,0
1118,1
1119,0
1120,1
1121,1
1122,0
1123,0
1124,0
1125,0
1126,1
1127,1
1128,1
1129,0
1130,1
1131,1
1132,1
1133,0
1134,1
1135,0
1136,0
1137,0
1138,1
1139,1
1140,0
1141,1
1142,1
1143,0
1144,1
1145,0
1146,1
1147,1
1148,1
1149,0
1150,1
1151,0
1152,0
1153,0
1154,0
1155,1
1156,0
1157,0
1158,0
1159,0
1160,0
1161,1
1162,1
1163,0
1164,0
1165,0
1166,1
1167,1
1168,1
1169,0
1170,0
1171,1
1172,1
1173,0
1174,0
1175,0
1176,0
1177,1
1178,0
1179,0
1180,0
1181,1
1182,1
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,1
1190,1
1191,1
1192,1
1193,1
1194,1
1195,1
1196,0
1197,0
1198,1
1199,1
1200,1
1201,0
1202,1
1203,0
1204,0
1205,1
1206,0
1207,0
1208,0
1209,1
1210,0
1211,0
1212,0
1213,0
1214,0
1215,1
1216,1
1217,0
1218,0
1219,1
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,1
1227,0
1228,0
1229,0
1230,0
1231,1
1232,0
1233,1
1234,0
1235,1
1236,0
1237,0
1238,1
1239,1
1240,1
1241,0
1242,1
1243,1
1244,0
1245,1
1246,0
1247,1
1248,0
1249,1
1250,1
1251,1
1252,1
1253,0
1254,1
1255,0
1256,0
1257,0
1258,1
1259,0
1260,1
1261,0
1262,0
1263,1
1264,1
1265,0
1266,0
1267,1
1268,1
1269,1
1270,0
1271,1
1272,1
1273,1
1274,1
1275,0
1276,1
1277,1
1278,1
1279,1
1280,0
1281,1
1282,0
1283,1
1284,0
1285,1
1286,1
1287,1
1288,0
1289,1
1290,1
1291,1
1292,1
1293,1
1294,0
1295,1
1296,1
1297,0
1298,1
1299,0
1300,0
1301,1
1302,0
1303,1
1304,1
1305,0
1306,0
1307,0
1308,1
1309,1
1310,0
1311,0
1312,0
1313,0
1314,0
1315,0
1316,1
1317,0
1318,0
1319,1
1320,1
1321,1
1322,1
1323,1
1324,1
1325,0
1326,1
1327,0
1328,0
1329,1
1330,0
1331,1
1332,1
1333,1
1334,0
1335,0
1336,1
1337,0
1338,1
1339,1
1340,0
1341,0
1342,0
1343,0
1344,0
1345,1
1346,0
1347,1
1348,1
1349,1
1350,0
1351,0
1352,0
1353,0
1354,1
1355,1
1356,0
1357,0
1358,1
1359,1
1360,0
1361,1
1362,0
1363,0
1364,1
1365,1
1366,0
1367,0
1368,0
1369,1
1370,1
1371,1
1372,1
1373,0
1374,0
1375,1
1376,1
1377,0
1378,0
1379,0
1380,1
1381,0
1382,1
1383,1
1384,0
1385,1
1386,0
1387,0
1388,1
1389,1
1390,0
1391,1
1392,1
1393,1
1394,1
1395,0
1396,1
1397,1
1398,0
1399,0
1400,1
1401,0
1402,0
1403,0
1404,1
1405,0
1406,1
1407,0
1408,0
1409,1
1410,1
1411,1
1412,0
1413,0
1414,1
1415,1
1416,0
1417,0
1418,1
1419,1
1420,0
1421,1
1422,1
1423,1
1424,1
1425,0
1426,1
1427,1
1428,0
1429,1
1430,1
1431,0
1432,1
1433,0
1434,1
1435,0
1436,0
1437,1
1438,1
1439,0
1440,0
1441,0
1442,1
1443,0
1444,0
1445,0
1446,1
1447,0
1448,1
1449,0
1450,0
1451,1
1452,1
1453,0
1454,0
1455,0
1456,1
1457,1
1458,1
1459,0
1460,1
1461,0
1462,0
1463,1
1464,1
1465,0
1466,1
1467,1
1468,1
1469,1
1470,1
1471,1
1472,0
1473,1
1474,1
1475,1
1476,0
1477,1
1478,1
1479,1
1480,1
1481,1
1482,0
1483,1
1484,0
1485,0
1486,0
1487,1
1488,1
1489,0
1490,0
1491,1
1492,1
1493,0
1494,0
1495,1
1496,0
1497,0
1498,1
1499,1
1500,1
1501,1
1502,1
1503,0
1504,1
1505,0
1506,0
1507,1
1508,0
1509,1
1510,1
1511,1
1512,0
1513,0
1514,0
1515,0
1516,0
1517,1
1518,1
1519,0
1520,0
1521,1
1522,1
1523,0
1524,0
1525,1
1526,0
1527,0
1528,1
1529,0
1530,1
1531,1
1532,1
1533,1
1534,0
1535,1
1536,0
1537,0
1538,0
1539,0
1540,0
1541,1
1542,0
1543,1
1544,1
1545,0
1546,1
1547,0
1548,0
1549,1
1550,0
1551,0
1552,0
1553,0
1554,0
1555,1
1556,1
1557,1
1558,0
1559,0
1560,0
1561,0
1562,1
1563,1
1564,1
1565,1
1566,1
1567,0
1568,1
1569,1
1570,0
1571,0
1572,1
1573,0
1574,0
1575,0
1576,1
1577,1
1578,1
1579,0
1580,0
1581,1
1582,0
1583,0
1584,0
1585,0
1586,0
1587,1
1588,1
1589,0
1590,0
1591,0
1592,0
1593,0
1594,0
1595,0
1596,1
1597,1
1598,0
1599,0
1600,0
1601,0
1602,0
1603,0
1604,1
1605,0
1606,0
1607,0
1608,1
1609,1
1610,0
1611,0
1612,1
1613,0
1614,0
1615,1
1616,0
1617,0
1618,1
1619,0
1620,0
1621,0
1622,0
1623,1
1624,1
1625,0
1626,1
1627,0
1628,0
1629,1
1630,0
1631,1
1632,1
1633,1
1634,1
1635,1
1636,0
1637,0
1638,0
1639,1
1640,1
1641,0
1642,0
1643,1
1644,0
1645,1
1646,0
1647,0
1648,1
1649,1
1650,1
1651,1
1652,0
1653,1
1654,1
1655,1
1656,1
1657,0
1658,1
1659,1
1660,1
1661,0
1662,1
1663,1
1664,1
1665,1
1666,1
1667,1
1668,0
1669,0
1670,1
1671,1
1672,0
1673,0
1674,0
1675,0
1676,1
1677,0
1678,1
1679,1
1680,1
1681,1
1682,0
1683,0
1684,1
1685,1
1686,0
1687,0
1688,0
1689,1
1690,1
1691,0
1692,0
1693,0
1694,0
1695,0
1696,1
1697,1
1698,0
1699,1
1700,1
1701,1
1702,1
1703,1
1704,1
1705,0
1706,0
1707,0
1708,1
1709,1
1710,0
1711,1
1712,0
1713,0
1714,1
1715,0
1716,1
1717,1
1718,1
1719,1
1720,1
1721,1
1722,0
1723,0
1724,1
1725,0
1726,1
1727,1
1728,1
1729,1
1730,0
1731,0
1732,1
1733,1
1734,1
1735,1
1736,1
1737,0
1738,0
1739,0
1740,1
1741,0
1742,1
1743,0
1744,0
1745,0
1746,1
1747,0
1748,1
1749,1
1750,0
1751,0
1752,1
1753,1
1754,1
1755,0
1756,0
1757,1
1758,0
1759,0
1760,0
1761,1
1762,0
1763,1
1764,1
1765,1
1766,1
1767,1
1768,1
1769,1
1770,0
1771,0
1772,0
1773,1
1774,0
1775,1
1776,0
1777,1
1778,1
1779,0
1780,1
1781,1
1782,0
1783,0
1784,1
1785,0
1786,0
1787,0
1788,1
1789,0
1790,1
1791,1
1792,0
1793,0
1794,0
1795,0
1796,0
1797,1
1798,0
1799,0
1800,1
1801,1
1802,1
1803,1
1804,1
1805,1
1806,1
1807,0
1808,1
1809,1
1810,1
1811,0
1812,1
1813,0
1814,1
1815,0
1816,1
1817,0
1818,1
1819,1
1820,1
1821,1
1822,0
1823,0
1824,0
1825,1
1826,0
1827,0
1828,1
1829,0
1830,1
1831,1
1832,0
1833,1
1834,0
1835,0
1836,0
1837,0
1838,1
1839,1
1840,1
1841,1
1842,1
1843,0
1844,0
1845,1
1846,0
1847,1
1848,0
1849,0
1850,0
1851,1
1852,1
1853,0
1854,1
1855,1
1856,0
1857,1
1858,0
1859,1
1860,1
1861,1
1862,0
1863,1
1864,1
1865,1
1866,1
1867,1
1868,1
1869,1
1870,0
1871,1
1872,0
1873,1
1874,1
1875,0
1876,0
1877,0
1878,0
1879,1
1880,1
1881,0
1882,0
1883,0
1884,1
1885,1
1886,1
1887,0
1888,0
1889,0
1890,1
1891,1
1892,1
1893,1
1894,0
1895,0
1896,1
1897,0
1898,1
1899,0
1900,1
1901,1
1902,1
1903,0
1904,1
1905,0
1906,1
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,1
1914,1
1915,0
1916,1
1917,1
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,1
1930,1
1931,1
1932,0
1933,1
1934,1
1935,1
1936,0
1937,1
1938,0
1939,1
1940,1
1941,1
1942,1
1943,0
1944,1
1945,0
1946,0
1947,1
1948,0
1949,1
1950,0
1951,1
1952,1
1953,0
1954,1
1955,1
1956,0
1957,0
1958,0
1959,0
1960,0
1961,1
1962,0
1963,0
1964,1
1965,1
1966,0
1967,1
1968,1
1969,0
1970,1
1971,0
1972,0
1973,0
1974,1
1975,0
1976,1
1977,1
1978,0
1979,1
1980,1
1981,0
1982,0
1983,0
1984,1
1985,0
1986,0
1987,1
1988,0
1989,1
1990,1
1991,0
1992,0
1993,1
1994,0
1995,1
1996,0
1997,0
1998,0
1999,1
2000,1
2001,1
2002,1
2003,1
2004,1
2005,0
2006,0
2007,0
2008,0
2009,1
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,1
2018,1
2019,1
2020,0
2021,0
2022,0
2023,1
2024,1
2025,1
2026,0
2027,0
2028,0
2029,0
2030,0
2031,1
2032,0
2033,0
2034,1
2035,1
2036,0
2037,1
2038,1
2039,0
2040,0
2041,1
2042,0
2043,0
2044,0
2045,1
2046,0
2047,0
2048,1
2049,0
2050,0
2051,1
2052,1
2053,1
2054,0
2055,1
2056,0
2057,1
2058,0
2059,0
2060,0
2061,1
2062,1
2063,0
2064,1
2065,1
2066,1
2067,1
2068,0
2069,1
2070,1
2071,0
2072,0
2073,1
2074,1
2075,0
2076,1
2077,1
2078,1
2079,0
2080,0
2081,1
2082,1
2083,0
2084,0
2085,1
2086,1
2087,0
2088,0
2089,1
2090,0
2091,1
2092,1
2093,0
2094,0
2095,0
2096,0
2097,1
2098,0
2099,0
2100,0
2101,0
2102,0
2103,1
2104,0
2105,1
2106,1
2107,0
2108,1
2109,1
2110,0
2111,0
2112,1
2113,1
2114,0
2115,0
2116,0
2117,1
2118,0
2119,0
2120,0
2121,1
2122,1
2123,0
2124,0
2125,0
2126,0
2127,0
2128,1
2129,0
2130,0
2131,0
2132,0
2133,0
2134,0
2135,0
2136,0
2137,1
2138,1
2139,1
2140,1
2141,1
2142,0
2143,1
2144,0
2145,1
2146,0
2147,0
2148,0
2149,1
2150,1
2151,0
2152,1
2153,1
2154,0
2155,0
2156,1
2157,0
2158,0
2159,0
2160,0
2161,0
2162,1
2163,0
2164,0
2165,1
2166,0
2167,1
2168,0
2169,0
2170,1
2171,0
2172,1
2173,1
2174,0
2175,0
2176,0
2177,1
2178,1
2179,1
2180,0
2181,0
2182,0
2183,1
2184,1
2185,1
2186,0
2187,0
2188,0
2189,1
2190,1
2191,0
2192,0
2193,0
2194,1
2195,1
2196,0
2197,1
2198,0
2199,1
2200,1
2201,0
2202,1
2203,0
2204,0
2205,1
2206,1
2207,0
2208,1
2209,1
2210,1
2211,1
2212,1
2213,1
2214,0
2215,1
2216,1
2217,1
2218,0
2219,1
2220,1
2221,0
2222,1
2223,1
2224,0
2225,0
2226,0
2227,1
2228,0
2229,1
2230,0
2231,0
2232,1
2233,1
2234,1
2235,1
2236,1
2237,0
2238,1
2239,0
2240,1
2241,1
2242,1
2243,1
2244,0
2245,1
2246,0
2247,1
2248,1
2249,1
2250,1
2251,0
2252,0
2253,1
2254,1
2255,1
2256,0
2257,1
2258,1
2259,1
2260,1
2261,1
2262,1
2263,0
2264,1
2265,1
2266,1
2267,1
2268,0
2269,0
2270,0
2271,1
2272,1
2273,1
2274,1
2275,1
2276,1
2277,0
2278,1
2279,0
2280,1
2281,0
2282,0
2283,1
2284,0
2285,0
2286,1
2287,1
2288,1
2289,0
2290,1
2291,1
2292,1
2293,1
2294,0
2295,1
2296,1
2297,1
2298,1
2299,0
2300,0
2301,1
2302,0
2303,1
2304,0
2305,1
2306,1
2307,0
2308,1
2309,1
2310,1
2311,1
2312,0
2313,1
2314,0
2315,1
2316,0
2317,1
2318,1
2319,1
2320,0
2321,1
2322,1
2323,0
2324,0
2325,1
2326,1
2327,1
2328,0
2329,0
2330,1
2331,0
2332,0
2333,0
2334,0
2335,0
2336,1
2337,1
2338,1
2339,1
2340,0
2341,1
2342,1
2343,1
2344,1
2345,0
2346,1
2347,0
2348,1
2349,1
2350,0
2351,0
2352,0
2353,1
2354,1
2355,0
2356,1
2357,0
2358,0
2359,1
2360,0
2361,0
2362,1
2363,1
2364,0
2365,0
2366,0
2367,1
2368,1
2369,0
2370,1
2371,0
2372,0
2373,0
2374,1
2375,1
2376,1
2377,0
2378,0
2379,0
2380,0
2381,1
2382,1
2383,1
2384,1
2385,1
2386,0
2387,0
2388,1
2389,0
