numeric,numeric
ID,x3
0,0
1,1
2,1
3,1
4,0
5,1
6,1
7,0
8,0
9,1
10,0
11,1
12,1
13,1
14,0
15,1
16,0
17,1
18,0
19,0
20,0
21,0
22,1
23,1
24,0
25,1
26,0
27,1
28,1
29,1
30,0
31,1
32,1
33,0
34,1
35,1
36,0
37,0
38,0
39,1
40,0
41,1
42,1
43,1
44,0
45,0
46,1
47,1
48,0
49,1
50,1
51,1
52,1
53,0
54,1
55,1
56,0
57,1
58,1
59,0
60,0
61,1
62,1
63,1
64,1
65,1
66,0
67,1
68,1
69,0
70,1
71,0
72,1
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,1
82,0
83,1
84,1
85,1
86,1
87,0
88,1
89,0
90,1
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,1
99,0
