numeric,numeric
ID,x5
0,0
1,1
2,0
3,1
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,0
13,1
14,1
15,1
16,1
17,0
18,1
19,1
20,1
21,0
22,1
23,0
24,1
25,1
26,1
27,0
28,1
29,0
30,0
31,0
32,1
33,0
34,0
35,0
36,1
37,1
38,1
39,1
40,0
41,0
42,1
43,0
44,1
45,1
46,0
47,0
48,1
49,1
50,0
51,0
52,1
53,0
54,1
55,0
56,1
57,0
58,0
59,0
60,1
61,0
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,0
71,1
72,1
73,0
74,1
75,1
76,1
77,1
78,0
79,1
80,0
81,1
82,0
83,0
84,1
85,1
86,0
87,0
88,1
89,0
90,1
91,0
92,0
93,1
94,1
95,0
96,1
97,1
98,1
99,0
100,0
101,0
102,0
103,0
104,0
105,1
106,0
107,1
108,0
109,0
110,0
111,1
112,0
113,0
114,0
115,0
116,1
117,1
118,1
119,0
120,1
121,1
122,0
123,1
124,0
125,1
126,0
127,1
128,0
129,1
130,0
131,1
132,1
133,0
134,0
135,1
136,0
137,1
138,1
139,1
140,0
141,0
142,0
143,0
144,0
145,1
146,1
147,0
148,1
149,1
150,1
151,1
152,0
153,0
154,0
155,1
156,1
157,1
158,0
159,1
160,1
161,0
162,1
163,0
164,0
165,0
166,0
167,1
168,1
169,1
170,0
171,1
172,1
173,0
174,1
175,0
176,0
177,1
178,0
179,1
180,1
181,0
182,0
183,0
184,1
185,1
186,1
187,1
188,0
189,0
190,0
191,1
192,1
193,1
194,1
195,0
196,1
197,1
198,1
199,0
200,0
201,1
202,0
203,0
204,0
205,0
206,0
207,0
208,1
209,1
210,1
211,0
212,1
213,0
214,1
215,0
216,1
217,1
218,1
219,0
220,1
221,1
222,1
223,0
224,1
225,0
226,1
227,0
228,0
229,0
230,0
231,0
232,1
233,0
234,1
235,0
236,1
237,0
238,1
239,0
240,0
241,0
242,1
243,0
244,1
245,0
246,0
247,1
248,1
249,1
250,0
251,1
252,0
253,0
254,1
255,1
256,0
257,1
258,0
259,1
260,1
261,0
262,1
263,0
264,1
265,1
266,0
267,0
268,0
269,0
270,1
271,0
272,1
273,1
274,0
275,0
276,1
277,0
278,0
279,0
280,1
281,0
282,0
283,1
284,1
285,1
286,1
287,1
288,0
289,1
290,0
291,0
292,1
293,0
294,0
295,0
296,1
297,0
298,0
299,1
300,0
301,0
302,1
303,1
304,1
305,1
306,0
307,1
308,0
309,1
310,0
311,0
312,0
313,1
314,1
315,1
316,0
317,1
318,0
319,1
320,0
321,0
322,0
323,1
324,0
325,1
326,0
327,0
328,1
329,1
330,1
331,0
332,1
333,0
334,1
335,0
336,1
337,0
338,1
339,1
340,1
341,1
342,0
343,0
344,0
345,1
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,1
354,1
355,0
356,1
357,1
358,0
359,1
360,1
361,1
362,0
363,0
364,1
365,0
366,0
367,1
368,1
369,0
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,0
378,1
379,0
380,0
381,1
382,0
383,1
384,0
385,1
386,1
387,0
388,1
389,0
390,0
391,0
392,1
393,0
394,0
395,0
396,1
397,0
398,1
399,0
400,1
401,1
402,1
403,0
404,1
405,0
406,1
407,1
408,0
409,1
410,1
411,0
412,0
413,1
414,1
415,1
416,0
417,0
418,0
419,0
420,1
421,1
422,0
423,0
424,1
425,0
426,0
427,1
428,1
429,0
430,1
431,0
432,0
433,1
434,0
435,0
436,1
437,0
438,0
439,1
440,1
441,1
442,1
443,0
444,0
445,0
446,0
447,1
448,1
449,0
450,0
451,1
452,0
453,1
454,0
455,1
456,0
457,0
458,1
459,1
460,0
461,1
462,1
463,0
464,0
465,1
466,0
467,0
468,0
469,0
470,1
471,0
472,0
473,1
474,0
475,0
476,0
477,1
478,1
479,0
480,0
481,0
482,0
483,1
484,1
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,1
494,1
495,1
496,1
497,0
498,1
499,1
